Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Manhattan,Hamilton Heights,54c2bd96498eaf5142e3fe92,Clove Indian Restaurant & Bar,28,7.6,15
Manhattan,Hamilton Heights,5914ff32b23dfa207eca38de,Mumbai Masala,13,7.6,6
Manhattan,Manhattanville,529d382a11d2dd5ef107e641,Chapati House - NYC,71,7.9,18
Manhattan,Manhattanville,54c2bd96498eaf5142e3fe92,Clove Indian Restaurant & Bar,28,7.6,15
Manhattan,Central Harlem,56d87f3d498ee215abee5724,Delhi Masala,12,8.6,3
Manhattan,Central Harlem,54c2bd96498eaf5142e3fe92,Clove Indian Restaurant & Bar,28,7.6,15
Manhattan,East Harlem,519fe6f5498e30595d370c44,Bawarchi,8,7.7,4
Manhattan,Yorkville,5272ca4511d22488f6895caf,Drunken Munkey,203,8.6,61
Manhattan,Lenox Hill,4fe4fb50c2eee335e4fea69d,Moti Mahal Delux,177,8.7,78
Manhattan,Roosevelt Island,4fe4fb50c2eee335e4fea69d,Moti Mahal Delux,177,8.7,78
Manhattan,Upper West Side,42489a80f964a5208b201fe3,Swagat,100,8.6,37
Manhattan,Upper West Side,591890f43abcaf1ddca66e85,Ashoka,18,8.4,9
Manhattan,Midtown,49d91c12f964a520015e1fe3,The Kati Roll Company,819,9,257
Manhattan,Murray Hill,59fcd48c464d6567ed2f5e37,The Kati Roll Company,13,8.7,2
Manhattan,Tribeca,4bbb9dbded7776b0e1ad3e51,Tamarind TriBeCa,566,9.2,141
Manhattan,Manhattan Valley,49c5ad0af964a5201b571fe3,Roti Roll,112,8.2,57
Manhattan,Manhattan Valley,4d24b812836f5481518645f7,Doaba Deli,41,7.5,13
Manhattan,Manhattan Valley,424de080f964a520ae201fe3,Manhattan Valley,40,7.8,30
Manhattan,Morningside Heights,49c5ad0af964a5201b571fe3,Roti Roll,112,8.2,57
Manhattan,Gramercy,4a70a75bf964a52016d81fe3,Bhatti Indian Grill,404,9,156
Manhattan,Gramercy,523b2b42498e1dfabcc8ab15,Pippali,284,8.9,73
Manhattan,Gramercy,4a12eb1ff964a52099771fe3,Dhaba,485,8.7,165
Manhattan,Financial District,5b770657c0cacb002c89bc63,The Kati Roll Company,10,8.3,2
Queens,Astoria,4aa56c81f964a5204e4820e3,Seva Indian Cuisine,231,9.2,126
Queens,Woodside,4afdcf29f964a520162b22e3,Rajbhog Sweets,37,8.7,25
Queens,Woodside,4b998d3ff964a520fc8235e3,Maharaja Sweets & Snacks,48,8.3,20
Queens,Woodside,3fd66200f964a52009f11ee3,Jackson Diner,137,8.1,75
Queens,Woodside,4c7060e734443704ca0e245f,Kababish,28,7.6,17
Queens,Woodside,49ebb18ff964a52016671fe3,Delhi Heights,33,8,23
Queens,Woodside,4b189424f964a52043d423e3,Dera,45,7.6,19
Queens,Woodside,4b66280cf964a520bc162be3,Indian Taj,38,7.5,16
Queens,Jackson Heights,527d9cbc498edf0db10bde6b,Samudra,43,8.5,14
Queens,Jackson Heights,4afdcf29f964a520162b22e3,Rajbhog Sweets,37,8.7,25
Queens,Jackson Heights,4b998d3ff964a520fc8235e3,Maharaja Sweets & Snacks,48,8.3,20
Queens,Jackson Heights,3fd66200f964a52009f11ee3,Jackson Diner,137,8.1,75
Queens,Jackson Heights,49ebb18ff964a52016671fe3,Delhi Heights,33,8,23
Queens,Elmhurst,527d9cbc498edf0db10bde6b,Samudra,43,8.5,14
Queens,Elmhurst,4a4e780ff964a52083ae1fe3,Tangra Masala,30,8.1,26
Queens,Kew Gardens,5782c9ce498edde587f5aa14,Tikka Indian Grill,8,7.5,2
Queens,Kew Gardens,4bbe78bfba9776b070cefdc8,Mehak Mughlai Cuisine,8,7.6,10
Queens,Richmond Hill,4b522029f964a520f26927e3,Sohna Punjab,8,8,2
Queens,Richmond Hill,4f1b77d7e4b044fd359e6d21,India Cafe,6,7,3
Queens,Richmond Hill,5782c9ce498edde587f5aa14,Tikka Indian Grill,8,7.5,2
Queens,Richmond Hill,4adbaef0f964a520ff2921e3,Punjabi Kabab House,7,6,7
Queens,Richmond Hill,4babc24ef964a5200ac73ae3,Royal India Palace,7,6,3
Queens,Richmond Hill,4bb2bc48a32876b02e0b01fe,Tandoori Hut,6,5.7,15
Queens,Richmond Hill,0,0,0,0,0
Queens,Long Island City,5b931ea69d7468002c3b1382,Adda,71,9.2,20
Queens,Long Island City,50a287a7e4b0033f830f06db,Raj's Indian Kitchen,21,7.2,9
Queens,Long Island City,4b1b341bf964a5208af923e3,Five Star Banquet,29,7.4,31
Queens,Sunnyside,5b931ea69d7468002c3b1382,Adda,71,9.2,20
Queens,Ridgewood,50e1c9708aca7ff2b3e50353,Nepalese Indian Restaurant,53,8.3,18
Queens,Rego Park,5625af69498ebbc62b61a382,Aaheli Restaurant,12,7.9,6
Queens,Woodhaven,0,0,0,0,0
Queens,Ozone Park,0,0,0,0,0
Queens,South Ozone Park,0,0,0,0,0
Queens,Bayside,4f1f4996e4b01ff351a7a50c,Ayna Agra Indian Restaurant,36,7.8,11
Queens,Bayside,539a4ff0498e79c6745baba9,Masala Box,9,8.3,2
Queens,Bayside,539e27b0498e2eba582085ee,masalabox,7,6.4,2
Queens,Glen Oaks,4b787c49f964a5209cd12ee3,Santoor Indian Restaurant,36,7.7,17
Queens,Glen Oaks,4df0f39dd4c04d0392c853ea,Sagar Chinese,7,6.2,6
Queens,Glen Oaks,4c0e256ab1b676b06589e186,Sohna Punjab,3,6.4,3
Queens,Glen Oaks,4b9030abf964a520397b33e3,Taste of Cochin,8,6.1,3
Queens,Kew Gardens Hills,0,0,0,0,0
Queens,Fresh Meadows,0,0,0,0,0
Queens,Briarwood,4bad49a0f964a52041423be3,Annam Brahma,15,8.3,3
Queens,Briarwood,4be334312fc7d13a7a81083a,Taj Mahal Restaurant & Party Hall,23,7.5,5
Queens,Briarwood,4cc08b0900d83704ed474b5c,Sybil's Bakery,7,7,3
Queens,Jamaica Center,4bad49a0f964a52041423be3,Annam Brahma,15,8.3,3
Queens,Jamaica Center,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant,10,7.2,6
Queens,Jamaica Center,4cc08b0900d83704ed474b5c,Sybil's Bakery,7,7,3
Queens,Steinway,562035d9498e2abb4137c2c7,Yaar Indian Restaurant,29,8.6,7
Queens,Floral Park,527ffc0811d2d329d5e49abd,Jackson Diner,9,7.9,3
Queens,Floral Park,4b647b56f964a520c4b62ae3,Usha Foods & Usha Sweets,30,8,9
Queens,Floral Park,4b787c49f964a5209cd12ee3,Santoor Indian Restaurant,36,7.7,17
Queens,Floral Park,4e4e3e22bd4101d0d7a5c2d1,Kerala Kitchen,4,7.6,6
Queens,Floral Park,4c0c01e0bbc676b00d6b4cd5,Mumbai Xpress,16,7.2,18
Queens,Floral Park,4c76ff35a5676dcb72671721,Flavor Of India,6,6.3,6
Queens,Floral Park,4df0f39dd4c04d0392c853ea,Sagar Chinese,7,6.2,6
Queens,Floral Park,0,0,0,0,0
Queens,Floral Park,0,0,0,0,0
Queens,Holliswood,4f580c1be4b0bdfd0e7e8102,Rajdhani Indian Restaurant,13,8.1,6
Queens,Jamaica Estates,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant,10,7.2,6
Queens,Jamaica Estates,0,0,0,0,0
Queens,Jamaica Estates,0,0,0,0,0
Queens,Jamaica Estates,0,0,0,0,0
Queens,Ravenswood,5623f6f9498e5a44a08bfae8,Boishakhi Restaurant,17,8.4,7
Queens,Bellaire,0,0,0,0,0
Queens,Forest Hills Gardens,4f188adfe4b0cae4b525a694,Haveli,14,7.4,9
Staten Island,New Brighton,4b9be038f964a520393036e3,Dosa Garden,18,8.1,17
Staten Island,New Dorp,4be74a502468c928505a0243,Taste Of India II,29,7.7,13
Staten Island,Tompkinsville,4b9be038f964a520393036e3,Dosa Garden,18,8.1,17
Brooklyn,Ditmas Park,519ff6c8498e1300ddcbd45c,Anarkali Indian Cuisine,14,8,8
Brooklyn,Ditmas Park,4db0f4371e729fcc56497f20,Mashallah,19,7.5,7
Brooklyn,Ditmas Park,4b718914f964a520c04b2de3,Madina Restaurant and Sweets,15,7,12
Brooklyn,Ditmas Park,564d283d498e6e851df79d87,Great Indian Curry,3,6.7,2
Staten Island,Park Hill,0,0,0,0,0
Staten Island,Grant City,4be74a502468c928505a0243,Taste Of India II,29,7.7,13
Manhattan,Carnegie Hill,5272ca4511d22488f6895caf,Drunken Munkey,203,8.6,61
Manhattan,Civic Center,4bbb9dbded7776b0e1ad3e51,Tamarind TriBeCa,566,9.2,141
Manhattan,Midtown South,49d91c12f964a520015e1fe3,The Kati Roll Company,819,9,257
Queens,Jamaica Hills,4bad49a0f964a52041423be3,Annam Brahma,15,8.3,3
Queens,Jamaica Hills,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant,10,7.2,6
Queens,Jamaica Hills,4cc08b0900d83704ed474b5c,Sybil's Bakery,7,7,3
Queens,Jamaica Hills,0,0,0,0,0
Queens,Jamaica Hills,0,0,0,0,0
Queens,Astoria Heights,0,0,0,0,0
Bronx,Concourse Village,551b7f75498e86c00a0ed2e1,Hungry Bird,8,7.4,3
Manhattan,Sutton Place,4a63bfb4f964a520b3c51fe3,Chola Eclectic Indian Cuisine,147,8.6,55
Manhattan,Sutton Place,4fe4fb50c2eee335e4fea69d,Moti Mahal Delux,177,8.7,78
Manhattan,Sutton Place,4f57f98fe4b0bd50f6bb8b31,The Kati Roll Company,179,8.6,54
Queens,Hunters Point,5a862df5356b493fcd8a10e5,DesiBowl,6,7.4,1
Manhattan,Turtle Bay,4a5b660df964a52015bb1fe3,Amma,98,8.5,65
Manhattan,Turtle Bay,59fcd48c464d6567ed2f5e37,The Kati Roll Company,13,8.7,2
Manhattan,Turtle Bay,4f57f98fe4b0bd50f6bb8b31,The Kati Roll Company,179,8.6,54
Manhattan,Tudor City,59fcd48c464d6567ed2f5e37,The Kati Roll Company,13,8.7,2
Queens,Sunnyside Gardens,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.8,16
Queens,Blissville,5b931ea69d7468002c3b1382,Adda,71,9.2,20
Brooklyn,Erasmus,564d283d498e6e851df79d87,Great Indian Curry,3,6.7,2
Queens,Queensbridge,4b1b341bf964a5208af923e3,Five Star Banquet,29,7.4,31
Queens,Queensbridge,50a287a7e4b0033f830f06db,Raj's Indian Kitchen,21,7.2,9
Staten Island,Fox Hills,0,0,0,0,0
